( 3Benada "ɛBenada" )
( 3dwoada "ɛdwoada" )
( 3hai "ɛhai" )
( 3hum "ɛhum" )
( 3nan "ɛnan" )
( 3nora "ɛnora" )
( 3noraakyi "ɛnoraakyi" )
( 3num "ɛnum" )
( 3yaara "ɛyaara" )
( aw] "awɔ" )
( aw]paa "awɔpaa" )
( Baako "Baako" )
( br33 "brɛɛ" )
( chooseKumasi "Mea one na hunu ewiem nsakrayɛ aa ɛwɔ Kumasi" )
( chooseTamale "Mea one na hunu ewiem nsakrayɛ aa ɛwɔ Tamale" )
( Daabi "Daabi" )
( dayBeforeYesterdayTamale "Mea one na hunu ɛnora akyi ewiem nsakrayɛ aa na ɛwɔ Tamale" )
( dene "dene" )
( Edu "Edu" )
( Efiada "Efiada" )
( Hwee "Hwee" )
( ]hyew "ɔhyew" )
( ]hyewpaa "ɔhyewpaa" )
( invalidEntry "Nyɛ ne Kwan so nono. San yɛ no fofroɔ" )
( Kwasiada "Kwasiada" )
( ]kyena "ɔkyena" )
( ]kyenaakyi "ɔkyenaakyi" )
( Medase "Medase" )
( Memeneda "Memeneda" )
( Mme3nsa "Mmeɛnsa" )
( Mmienu "Mmienu" )
( Nkron "Nkron" )
( nn3 "nnɛ" )
( Nsia "Nsia" )
( Nson "Nson" )
( nsuo "nsuo" )
( Nw]twe "Nwɔtwe" )
( RainHeavy "Na nsuo no ano yɛ den" )
( todayTamaleHeavyRain "Nsuden bɛtɔ wɔ Tamale nnɛ" )
( tomorrowNoRainTamale "nsuo rentɔ wɔ Tamale ɔkyena" )
( TomorrowVeryHotTamale "ɔhyew paa bɛba Tamale ɔkyena akyi" )
( twiChoice "Sɛ wo pɛ twi aa mea one" )
( weatherTamaleYesterday "Mea one na hunu ɛnora ewiem nsakrayɛ aa ɛwɔ Tamale" )
( weatherTodayTamale "Mea one na hunu nnɛ ewiem nsakrayɛ aa  ɛwɔ Tamale" )
( weatherTomorrowTamale "Mea one na hunu ɔkyena  ewiem nsakrayɛ aa ɛwɔ Tamale" )
( Wukuada "Wukuada" )
( Yawoada "Yawoada" )
( yesterdayNoRainTamale "Nsuo antɔ wɔ Tamale ɛnnora" )
( YesterdayRainTamale "ɛnnora nsuo tɔɔ wɔ Tamale" )
( yesterdayTamaleHot "Na ɛnnora bɔbrɛɛ wɔ Tamale yɛ hye" )
